education_years,age_mid,race_black,race_white,race_hispanic,gender_male,gross_income,marital_status,state,tax,expenditure,disposable_income
8,21,0,1,0,0,-16477.29,single,Alabama,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Alaska,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Arizona,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Arkansas,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,California,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Colorado,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Connecticut,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Delaware,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Florida,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Georgia,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Hawaii,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Idaho,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Illinois,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Indiana,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Iowa,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Kansas,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Kentucky,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Louisiana,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Maine,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Maryland,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Massachusetts,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Michigan,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Minnesota,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Mississippi,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Missouri,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Montana,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Nebraska,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Nevada,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,New Hampshire,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,New Jersey,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,New Mexico,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,New York,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,North Carolina,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,North Dakota,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Ohio,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Oklahoma,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Oregon,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Pennsylvania,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Rhode Island,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,South Carolina,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,South Dakota,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Tennessee,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Texas,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Utah,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Vermont,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Virginia,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Washington,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,West Virginia,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Wisconsin,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,single,Wyoming,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Alabama,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Alaska,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Arizona,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Arkansas,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,California,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Colorado,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Connecticut,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Delaware,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Florida,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Georgia,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Hawaii,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Idaho,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Illinois,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Indiana,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Iowa,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Kansas,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Kentucky,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Louisiana,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Maine,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Maryland,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Massachusetts,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Michigan,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Minnesota,-1260.51,30373,-45589.78
8,21,0,1,0,0,-16477.29,married,Mississippi,-1260.51,30373,-45589.78
